"Outer_Iter",  "rms[A_Rho][0]" , "rms[A_RhoU][0]" , "rms[A_RhoV][0]" ,   "rms[A_E][0]"  
           0, -2.62492584592738,  -5.1940667528102, -5.60393967046795, -8.35834658302917
           1, -2.70169161517092, -5.26808935945631,  -5.5326611224022, -8.43853360478533
           2, -2.75108087668067, -5.33870490531852, -5.55425959145545, -8.43171965200288
           3, -2.77933813165004, -5.40579941779035, -5.59596317454529, -8.44958527886367
           4, -2.81403270678887,   -5.451402961179, -5.63795018968496, -8.49994458160677
           5, -2.85323433138496, -5.48907063130931, -5.68865019289757, -8.53603147888104
           6, -2.89377477719853, -5.53266728846101, -5.74994752389904, -8.55962159556972
           7, -2.93847538995924, -5.58389109285048, -5.80116147617396, -8.59206980277623
           8, -2.98078618170859,    -5.63840618833, -5.83897582209322, -8.63581487238868
           9, -3.01666441288924, -5.68952249326152,  -5.8777248551799, -8.68625403072849
          10, -3.04972390012128, -5.73407688260669, -5.92031295427224, -8.73574678563192
          11,  -3.0800201089931, -5.77343346155156, -5.95889718962826, -8.77653357009574
          12, -3.10770365361748, -5.80870743489077, -5.99048126826287, -8.81235701527905
          13, -3.13459203696795,  -5.8399985204017, -6.01872797069451, -8.84851301802543
          14, -3.15928260466973,   -5.867852901566, -6.04544539219067, -8.88124754439147
          15, -3.18019767872683, -5.89272395294035, -6.06968980244199, -8.90791646065362
          16, -3.19901679944755,  -5.9147475516699,  -6.0917997456196, -8.93199906558982
          17, -3.21736919440356, -5.93449526835807, -6.11318233291754, -8.95510738834247
          18, -3.23502801230305, -5.95280083699538, -6.13384079534007, -8.97582265089422
          19,  -3.2518250863188, -5.97011691308315, -6.15275906049143,   -8.994203241541
          20, -3.26819189911097, -5.98659459132618, -6.16965690767571, -9.01132599738353
          21, -3.28429746628263, -6.00239036004927, -6.18515086184731, -9.02734921565323
          22, -3.30001593226587, -6.01764123684703, -6.19982570723441, -9.04217693159797
          23, -3.31527642872338, -6.03239942694954,  -6.2139097420506, -9.05610946981198
          24, -3.33005924078294, -6.04670430840273, -6.22749154155125, -9.06949134155703
          25, -3.34435982492247, -6.06062811392925,   -6.240599611773, -9.08255762171228
          26, -3.35821231740619, -6.07425001877651, -6.25320030988353, -9.09546099455907
          27, -3.37167268022007, -6.08762537719172, -6.26528500476071, -9.10826356609287
          28, -3.38480443931392, -6.10077941385012,  -6.2769256030217, -9.12097480448749
          29, -3.39766168328513, -6.11371964588508, -6.28822976785053, -9.13357087530277
