"Outer_Iter",  "rms[A_Rho][0]" , "rms[A_RhoU][0]" , "rms[A_RhoV][0]" ,   "rms[A_E][0]"  
           0, -3.72646983260186, -6.22350409346371, -6.33868400949592, -9.05419454281478
           1, -3.75287314690694, -6.27400287241847, -6.34830048263139, -9.15679857473278
           2, -3.79109583100709, -6.35999249142531, -6.42578146031321, -9.26847078678959
           3, -3.84082347314527, -6.45518270425523, -6.52654184342297, -9.38298969099606
           4,  -3.8812321374649, -6.50093960237152, -6.57707581622319, -9.42899354824193
           5, -3.92161788661285, -6.53857086766882, -6.61001378878881, -9.46595106996373
           6, -3.96629897646582, -6.59503493037832, -6.66360384200395, -9.53019649618568
           7, -4.01028520459007, -6.66143010479986, -6.73295012484524, -9.61249430786233
           8, -4.05063414065214, -6.72197472759882, -6.80126443288036, -9.68974010671938
           9, -4.08840169947841, -6.77066730862751, -6.86037470782466, -9.74861448816221
          10, -4.12390251635664, -6.81154517067168, -6.91313383442853, -9.79507206506264
          11, -4.15720367880948, -6.85026606311178, -6.96567607226298, -9.83905719673708
          12, -4.18931083882183, -6.88887152977857, -7.01984696321315, -9.88350195359699
          13, -4.22099790944538, -6.92637259564991, -7.07219970798064, -9.92717787266974
          14, -4.25202420859344, -6.96152600313081, -7.11867949890492,  -9.9685333808565
          15, -4.28186923886666, -6.99413942335695, -7.15881733601772, -10.0065255483886
          16,  -4.3104124499204,  -7.0246269317557, -7.19512989513424, -10.0410112631878
          17, -4.33779058213276, -7.05336404273882, -7.22964351111177, -10.0724837024542
          18, -4.36411746022441, -7.08059720057335, -7.26228860917655, -10.1014817187136
          19, -4.38951118396567, -7.10658022093964, -7.29224653962075, -10.1285996205311
          20, -4.41405816232996, -7.13156412924481,  -7.3195119658824, -10.1544052749084
          21,  -4.4377475247273, -7.15567555724776, -7.34487141309141, -10.1792199847557
          22, -4.46057547345242, -7.17889099051103, -7.36906995101629, -10.2031046233969
          23, -4.48259424604746, -7.20113098906876, -7.39234565757452, -10.2259668431861
          24, -4.50382496245723, -7.22233756494722, -7.41459841845797, -10.2477027830024
          25, -4.52423258010928, -7.24249920564304, -7.43577960596286, -10.2682901872723
          26, -4.54379337355188, -7.26167024434316, -7.45604113939793, -10.2877867912304
          27, -4.56254536794751, -7.27997384374347, -7.47560686621952, -10.3063119525337
          28, -4.58058718069759, -7.29756742204413, -7.49461746070985, -10.3240427730233
          29, -4.59803780880696, -7.31459686540321, -7.51310759897648, -10.3411738386654
          30, -4.61499206184791, -7.33116964653467, -7.53107949486146, -10.3578619970015
          31, -4.63151150084406, -7.34735273890851, -7.54856586477599, -10.3742090386447
          32, -4.64763974251161, -7.36318635962533, -7.56563032704889, -10.3902677363258
          33,  -4.6634132389968, -7.37869909838591, -7.58233480291764,  -10.406054963913
          34, -4.67886569014567, -7.39391653196675, -7.59872195224415, -10.4215766859427
          35, -4.69402983418482, -7.40886523884534, -7.61482272456873, -10.4368487279302
          36, -4.70893622689326, -7.42357453039315, -7.63066612783342, -10.4518996429729
          37, -4.72361092485083,  -7.4380742801492, -7.64628317213582, -10.4667641818201
          38, -4.73807571411409, -7.45239156165167, -7.66170456163362, -10.4814756574158
          39, -4.75235013896658, -7.46654915104845, -7.67696042693549, -10.4960596563796
          40, -4.76645472547227,  -7.4805672348329, -7.69208030163605, -10.5105335628379
          41, -4.78041355781596, -7.49446634476551,  -7.7070906261991,  -10.524910774409
          42, -4.79425345768125, -7.50826853375052, -7.72201101481525, -10.5392040566889
          43, -4.80800062004338, -7.52199571113212, -7.73685305164901, -10.5534257879651
          44, -4.82167774393681, -7.53566678088378, -7.75162299771316, -10.5675866283871
          45, -4.83530272993975, -7.54929592703662, -7.76632609638825, -10.5816943893351
          46, -4.84888837489676, -7.56289279435347, -7.78096934483143, -10.5957542740094
          47,  -4.8624428530008, -7.57646369738285, -7.79556163261468,  -10.609770383164
          48, -4.87597100914972, -7.59001287512077, -7.81011234893322, -10.6237468691052
          49,  -4.8894761663973, -7.60354355134905, -7.82463010247278, -10.6376878223368
          50, -4.90296202272745, -7.61705901571245, -7.83912237816885, -10.6515968872669
          51, -4.91643418251597, -7.63056381513614, -7.85359599335307, -10.6654777221541
          52, -4.92990095457145, -7.64406481653871, -7.86805782267187, -10.6793351560662
          53, -4.94337345854676, -7.65757180509643, -7.88251536284881, -10.6931763150918
          54,  -4.9568653574786,  -7.6710974943727, -7.89697695985266, -10.7070112226114
          55, -4.97039237015066, -7.68465705961066, -7.91145171868552, -10.7208527336737
          56, -4.98397152952516, -7.69826734404456, -7.92594923120233, -10.7347159738098
          57,   -4.997620209338, -7.71194582842822, -7.94047930153537, -10.7486175370099
          58,  -5.0113550537966,  -7.7257094646825, -7.95505180327256, -10.7625745312263
          59, -5.02519099316347, -7.73957354887082,  -7.9696766723315, -10.7766035153017
          60, -5.03914051757024, -7.75355084127086, -7.98436390754267, -10.7907195190098
