"Outer_Iter",   "rms[Rho][0]"  ,  "rms[RhoU][0]"  ,  "rms[RhoV][0]"  ,  "rms[RhoE][0]"  ,   "Avg CFL[0]"   ,      "CD[0]"     ,      "CL[0]"     
           0, -0.20010789345185,  2.55403078069591,  2.50563583880019,  5.53434593226815,  5.49802965371164, 0.105594725481971,-0.426783458635717
           1,-0.280914868721689,   2.4758693232324,  2.40973144782217,  5.46092186420904,  6.04593616078022, 0.223578890064622,-0.901040309736744
           2, -0.39228215082238,  2.36678813859782,  2.28353855271507,  5.35004438508374,   6.6505297768584, 0.308570069049058, -1.24018822227556
           3, -0.47479761077869,  2.28507068088967,    2.191733202869,   5.2625439386654,  7.31558275454396, 0.338612604710914, -1.35760044462784
           4,-0.496720167844705,  2.26322975988164,  2.16533670560967,  5.23991491288762,  8.04714102999875, 0.332790208066035, -1.33186888104394
           5,-0.508157118501207,  2.25160723170768,  2.15096112936051,  5.22826810465609,  8.85185513299814, 0.323478041582055, -1.29313439879183
           6,-0.524541912132145,  2.23508241078678,  2.13260930097345,  5.21042347141916,  9.73704064629846, 0.318027897752283, -1.27021853694132
           7,   -0.542148098415,  2.21744594163291,  2.11339954384738,  5.19172991999752,  10.7107447109283, 0.316628790171492, -1.26318068303969
           8,-0.560443163819734,  2.19904434349636,   2.0934629163243,  5.17262094421516,  11.7818191820209, 0.317058334283009, -1.26303846727821
           9,-0.579209251513936,  2.17997120197466,  2.07292313326613,  5.15287826169461,  12.9600011002228, 0.317568875412414,  -1.2629112676013
          10,-0.598379892600788,  2.16031420637876,  2.05181466852164,  5.13252859548561,   14.256001210245, 0.317711682929779, -1.26110715345399
          11,-0.618237596541006,  2.13978715207837,  2.02983378134879,  5.11127213368548,  15.6816013312701, 0.317650565742212, -1.25829001536337
          12,-0.638679955556857,  2.11852051519438,  2.00714968945587,  5.08928473945124,  17.2497614643968, 0.317574915699263, -1.25516104346705
          13,-0.659615916873412,  2.09653602777623,  1.98385396551397,  5.06661367118531,  18.9747376108368, 0.317548741097711, -1.25187572403452
          14, -0.68082964452195,  2.07397953004346,  1.96019353359718,  5.04344113221109,  20.8721178420855, 0.317599592950124, -1.24834296686949
          15,-0.702294594595167,   2.0508715116991,   1.9361113062437,   5.0198053396726,  22.9592267434754, 0.317785616177206,  -1.2443965822295
          16,-0.723864166689283,  2.02729310152154,  1.91189085300798,  4.99578131326172,  25.2544703912274, 0.318230643747095, -1.23987570337617
          17,-0.744998661418614,  2.00362106450082,  1.88805534148959,   4.9718880176557,  27.7774276661571, 0.319123221860451, -1.23469031314075
