"Outer_Iter",  "rms[A_Rho][0]" , "rms[A_RhoU][0]" , "rms[A_RhoV][0]" ,   "rms[A_E][0]"  
           0, -1.84947754964443, -4.45999886702357, -4.74117958818865, -7.49423666123692
           1, -1.90222587035462, -4.53332356437241,  -4.6684371536548, -7.60085679130332
           2, -1.92361398725668, -4.57942056682427, -4.69985460537719, -7.62471403481433
           3, -1.94569785584006, -4.62485791389199,  -4.7500458802228,  -7.6546902294472
           4, -1.97502555890783, -4.66067221428686, -4.79634321904567, -7.69624327768164
           5, -2.00717911357936, -4.69149059831194, -4.84467487310801, -7.72654812121358
           6, -2.04088499209836, -4.72462931406405, -4.89763573670517, -7.74887005826566
           7, -2.07685273965323, -4.76239133380997, -4.94482564598181, -7.77640953299171
           8, -2.11144905934202, -4.80220915087888, -4.98236574951014, -7.81089948694399
           9, -2.14210167877409, -4.83944213274232,  -5.0155297393941,   -7.847998920338
          10, -2.16980388186912, -4.87210858424393, -5.04750567581793, -7.88301132953515
          11,  -2.1952998249122,  -4.9013993296228, -5.07747402513857,  -7.9137435669603
          12, -2.21917993519388, -4.92855727101057, -5.10479563855508, -7.94237930891617
          13, -2.24196122234321, -4.95380241477828, -5.12997034538802, -7.97055892592322
          14, -2.26311871104373, -4.97704139130984, -5.15328914504299, -7.99665569300628
          15, -2.28230226886537, -4.99825423562116, -5.17491997777509, -8.01964827514987
          16, -2.30020528617506, -5.01762760550998, -5.19548474071751, -8.04062218170736
          17, -2.31749875838405, -5.03560645771286, -5.21548216968196, -8.06029375832877
          18,  -2.3342850428762, -5.05266354908434, -5.23463436643428,   -8.078510716557
          19,  -2.3506184183783, -5.06907565151758,  -5.2523497342359, -8.09540778362249
          20, -2.36666157288319, -5.08496503138623, -5.26849148459582, -8.11132714725436
          21, -2.38245819476082, -5.10039883906414, -5.28344766969734, -8.12637196747584
          22,  -2.3979302505367, -5.11540296832153, -5.29769576021738, -8.14059652108828
          23, -2.41299689461913, -5.12998029523156, -5.31150671446304, -8.15417901300134
          24,  -2.4276121535396, -5.14415691659546, -5.32494157556168, -8.16733049402549
          25, -2.44177578025527, -5.15799456335178, -5.33795092667649, -8.18023627908305
          26, -2.45553054999882, -5.17156331907773, -5.35047689584734, -8.19302834974679
          27, -2.46893562863229, -5.18491279849481, -5.36252137712139, -8.20576211769896
          28, -2.48204535973165, -5.19806366443126, -5.37414974764474, -8.21843273789288
          29, -2.49489914167731, -5.21101696273813,  -5.3854513931585, -8.23100279670314
          30, -2.50752146635629, -5.22376769927797, -5.39650741741327, -8.24342816499441
          31, -2.51993046453351, -5.23631375291513,  -5.4073822745153, -8.25567933174345
          32, -2.53214318409064, -5.24865896738741, -5.41812463694824, -8.26774699903024
          33, -2.54417421112522, -5.26081187425836, -5.42876778749255,  -8.2796361906206
          34, -2.55603418394764, -5.27278245651295, -5.43933105356368,  -8.2913587866606
          35,  -2.5677315390904, -5.28457958795944, -5.44982320836038, -8.30292819509069
          36, -2.57927497380291, -5.29621012834879, -5.46024689773604, -8.31435488023003
          37, -2.59067324450786, -5.30767956998682, -5.47060258290839, -8.32564436350293
          38, -2.60193387790511, -5.31899263343111, -5.48089184879333, -8.33679801671099
          39, -2.61306290400709, -5.33015377748984, -5.49111883239835, -8.34781708386966
          40, -2.62406522180067, -5.34116765446092, -5.50129006039378, -8.35870526984387
          41,   -2.634944712384,  -5.3520394420809, -5.51141339642042, -8.36946870917901
          42, -2.64570452473271,  -5.3627748280352, -5.52149682240028, -8.38011535656895
          43, -2.65634764732905, -5.37337970760663, -5.53154762414292, -8.39065435378354
          44, -2.66687730510937, -5.38385986436985, -5.54157213902021, -8.40109495589821
          45, -2.67729714629218,  -5.3942208276065, -5.55157584466996, -8.41144552835211
          46, -2.68761143279589, -5.40446796272215, -5.56156353834765, -8.42171313610723
          47, -2.69782523003055, -5.41460672805717, -5.57153948724315, -8.43190357729025
          48, -2.70794449495349, -5.42464293706767, -5.58150750776249, -8.44202160117426
          49, -2.71797600251435, -5.43458287545308, -5.59147098410615,  -8.4520711747604
          50, -2.72792709184006, -5.44443322511135, -5.60143287556106, -8.46205572502017
          51, -2.73780528180802, -5.45420084758051, -5.61139575142114, -8.47197837215103
          52,  -2.7476178552689,   -5.463892522813, -5.62136185991463, -8.48184218684607
          53, -2.75737150402321, -5.47351472533459, -5.63133322504054, -8.49165044004371
          54, -2.76707209958218, -5.48307348044616, -5.64131176703832, -8.50140678795018
          55, -2.77672462001828, -5.49257431108974, -5.65129943747683, -8.51111535965106
          56, -2.78633320874904,   -5.502022257092, -5.66129830994214, -8.52078074950329
          57, -2.79590140128921, -5.51142201179792, -5.67131087909024, -8.53040791414401
          58, -2.80543230499505, -5.52077806910477, -5.68133965696248, -8.54000224370325
          59, -2.81492888896079, -5.53009479230784, -5.69138768549045, -8.54956916081428
          60, -2.82439421749241, -5.53937669228937, -5.70145813472901, -8.55911433457792
          61, -2.83383166787989, -5.54862850622035, -5.71155429492661, -8.56864345709604
          62, -2.84324504269795, -5.55785526090829, -5.72167948369839, -8.57816217418026
          63, -2.85263862425823, -5.56706231148726, -5.73183691481488,  -8.5876760491357
          64, -2.86201715839254, -5.57625530578411, -5.74202959028885, -8.59719048400639
          65, -2.87138581484218, -5.58544012699582, -5.75226027693383, -8.60671062958282
          66, -2.88074984954914, -5.59462261894295, -5.76253116775754, -8.61624138708496
          67, -2.89011478209556, -5.60380865747643, -5.77284447362393, -8.62578713956878
          68, -2.89948603973694, -5.61300397603875, -5.78320170202886, -8.63535207441934
          69, -2.90886871935797, -5.62221384951908, -5.79360407775669, -8.64493984327295
          70, -2.91826764277981, -5.63144318604916, -5.80405271575376, -8.65455362147944
          71, -2.92768720519224,  -5.6406964813038, -5.81454817042325, -8.66419633641571
          72, -2.93713134576743,  -5.6499776801894, -5.82509092042633,  -8.6738703551773
          73, -2.94660350214651, -5.65929023953771, -5.83568126417479, -8.68357771689543
          74, -2.95610669424342, -5.66863721096468, -5.84631933540712, -8.69332017952196
          75, -2.96564361227645, -5.67802130452794, -5.85700519087145, -8.70309921906859
          76, -2.97521669635163, -5.68744497720268, -5.86773885152157, -8.71291610783524
          77, -2.98482822988781, -5.69691053480849, -5.87852033070187, -8.72277200385027
          78, -2.99448043971792, -5.70642022708788, -5.88934967128119, -8.73266801760114
          79, -3.00417557968536, -5.71597632728094, -5.90022697479315, -8.74260527763517
          80, -3.01391599005332, -5.72558118772718, -5.91115245111883, -8.75258500093951
          81,  -3.0237041391107, -5.73523730354773, -5.92212633063162, -8.76260852474975
          82, -3.03354263258251, -5.74494726989761, -5.93314905496066,  -8.7726773582675
          83, -3.04343418740575, -5.75471383718488, -5.94422119197251, -8.78279323564693
          84, -3.05338167211304,  -5.7645398863811, -5.95534345880031, -8.79295809181922
          85,  -3.0633880433091, -5.77442838724932, -5.96651675267441, -8.80317406412391
          86, -3.07345630023954, -5.78438237042701, -5.97774214981692, -8.81344350840591
          87, -3.08358945254062, -5.79440489082265, -5.98902092329939, -8.82376897307554
          88, -3.09379049340051, -5.80449899515277, -6.00035455254046, -8.83415316517882
          89, -3.10406237373563, -5.81466769904602, -6.01174472290944, -8.84459893025317
          90, -3.11440798161755, -5.82491396971423, -6.02319332582572, -8.85510923433422
          91, -3.12483012999502, -5.83524071358465, -6.03470245712524, -8.86568714336198
          92, -3.13533155296519, -5.84565077029011, -6.04627441198111, -8.87633580212663
          93, -3.14591490973835, -5.85614691367587, -6.05791167582736, -8.88705841621846
          94, -3.15658279397977, -5.86673185794237, -6.06961691052735, -8.89785823815941
          95, -3.16733774540769, -5.87740826549699, -6.08139293671106, -8.90873855580765
          96, -3.17818226140229, -5.88817875419441, -6.09324271355031, -8.91970268105796
          97, -3.18911880759227, -5.89904590325509, -6.10516931612515, -8.93075393821983
          98, -3.20014982669628, -5.91001225749045, -6.11717591010634, -8.94189565185196
          99, -3.21127774464132,  -5.9210803291565, -6.12926572389011, -8.95313113366086
         100,  -3.2225049730532, -5.93225259680935, -6.14144201884441, -8.96446366806649
