"Outer_Iter",  "rms[A_Rho][0]" , "rms[A_RhoU][0]" , "rms[A_RhoV][0]" ,   "rms[A_E][0]"  
           0, -2.96302936900685, -5.47600039655728, -5.60788104551093, -8.30978142256556
           1,  -3.0362067856413, -5.55894614374047, -5.61700388605002, -8.41920686752095
           2, -3.11804154859978, -5.66630747076241, -5.70326884690863, -8.54005007049991
           3, -3.20108523398936, -5.78587051235728, -5.81942899500433, -8.67509510155734
           4, -3.24475476815222, -5.83729408951961, -5.87844336389405, -8.73301409864479
           5, -3.27086091820396, -5.86243921086133, -5.90375371015721, -8.75756558944274
           6, -3.30993102650468, -5.91256668040641, -5.95100521423337, -8.81208849094388
           7, -3.36345485208902, -5.98745888209482, -6.02660885029653, -8.89904578423917
           8, -3.41916727956777, -6.06504308805206, -6.11118338840692, -8.99177459270153
           9, -3.46840428365712, -6.12730200623219, -6.18529598909123, -9.06628958812628
          10, -3.50898688831303,  -6.1740454359393, -6.24481668822267, -9.12144420533105
          11, -3.54469357844771, -6.21574688919262, -6.29962307660572, -9.17037280292353
          12, -3.58090151343569, -6.25936036566816, -6.35786076369367, -9.22232366014503
          13, -3.61889238013522, -6.30457546643918, -6.41803107234042, -9.27654689887074
          14, -3.65650211707636, -6.34804513658525, -6.47436711704713, -9.32779357285039
          15, -3.69216552310117, -6.38786104847361, -6.52414199545175, -9.37340010187349
          16,  -3.7260227028473, -6.42454311345611, -6.56880874694521, -9.41449218118426
          17, -3.75856952030286, -6.45937490684526, -6.61087134675512, -9.45306292885362
          18, -3.78996110237425, -6.49297692600003,  -6.6514466298249, -9.49023146888996
          19, -3.82013466903825, -6.52526565723032, -6.69008316997431, -9.52619288554939
          20, -3.84897514267892, -6.55599712972806, -6.72591148797747, -9.56061354712599
          21, -3.87645079097153, -6.58506768105507, -6.75874000149055, -9.59313230199261
          22, -3.90266906094323, -6.61252470172564, -6.78912532745783,   -9.623582714668
          23, -3.92777151557321, -6.63849525320809, -6.81765861793315,  -9.6519684454494
          24, -3.95182419984917, -6.66311369291745, -6.84454036905957, -9.67844437303774
          25, -3.97485470813193, -6.68650697945638, -6.86979060847002, -9.70324711435029
          26, -3.99694327296357, -6.70883812744538, -6.89355001883745, -9.72662427353577
          27, -4.01823084361122, -6.73031637594802, -6.91608876493591,  -9.7488641173951
          28, -4.03884797184493, -6.75114051111972, -6.93765287096826, -9.77028601461725
          29, -4.05885850292155, -6.77143355514931, -6.95837492945962, -9.79112820103681
          30, -4.07827983049273, -6.79122318929571, -6.97830247598719, -9.81147834451391
          31, -4.09712786728773, -6.81047400838085, -6.99747250676977, -9.83129679827134
          32, -4.11542195763743, -6.82913855709539,  -7.0159502066515, -9.85047954333749
          33, -4.13317675844087, -6.84719051874532, -7.03381356905254, -9.86893963821207
          34, -4.15041116793894, -6.86463353264514, -7.05112269866013, -9.88665939747527
          35, -4.16715527426746, -6.88149722417067, -7.06790822699374, -9.90367873573828
          36, -4.18344460280192, -6.89782625839256, -7.08417992452605, -9.92006346111055
          37,  -4.1993080264661, -6.91366532383352, -7.09994109850746, -9.93588597857442
          38, -4.21475704277437, -6.92904662141008, -7.11519884558069, -9.95120982539954
          39, -4.22978721108094, -6.94398571777479,  -7.1299684702374, -9.96607950340953
          40, -4.24439095044933, -6.95848637685203, -7.14427419131975, -9.98052062231464
          41, -4.25856736184738, -6.97254958556766, -7.15814778037925, -9.99454555887479
          42,  -4.2723231384167, -6.98618067227321, -7.17162576807556,  -10.008162330602
          43, -4.28567067115482, -6.99939231673894, -7.18474645919797, -10.0213838863958
          44, -4.29862814224153, -7.01220528681392, -7.19754835790455, -10.0342322446155
          45, -4.31122088373263, -7.02464875458779, -7.21007018014571, -10.0467378174423
          46, -4.32348153998795, -7.03675999543174, -7.22235117288961, -10.0589381032482
          47, -4.33544797455655, -7.04858250926381, -7.23443069682786, -10.0708764474428
          48, -4.34716023548323, -7.06016262915152, -7.24634714725662, -10.0825994003674
          49, -4.35865845361463,  -7.0715459292823,   -7.258136873452, -10.0941528232345
          50, -4.36998189865488, -7.08277478958664, -7.26983357861822, -10.1055784090725
          51, -4.38116829499816, -7.09388743398722, -7.28146822485704, -10.1169120660162
          52, -4.39225300631877, -7.10491785632958, -7.29306916725842, -10.1281842017277
          53, -4.40326835996706, -7.11589598315922,  -7.3046622380603, -10.1394207129937
          54, -4.41424331975238, -7.12684781229417,  -7.3162706561964, -10.1506436598651
          55, -4.42520337724173,  -7.1377955189813, -7.32791477505272, -10.1618715660411
          56, -4.43617042435451, -7.14875752729114, -7.33961176309825, -10.1731196516389
          57, -4.44716255133382, -7.15974851330398, -7.35137534460484,  -10.184400027057
          58, -4.45819392141201, -7.17077937012148, -7.36321569046368, -10.1957217087782
          59, -4.46927486472198, -7.18185725286807, -7.37513945985488, -10.2070904824122
          60, -4.48041217799581, -7.19298581731374, -7.38714992739783, -10.2185088399806
          61, -4.49160952640897, -7.20416566943293, -7.39924713962726, -10.2299762005525
          62, -4.50286787657086, -7.21539495149305, -7.41142810329852, -10.2414894241864
          63, -4.51418595285181,  -7.2266699675897, -7.42368705128626, -10.2530434682766
          64, -4.52556072471887, -7.23798578118712, -7.43601582832268, -10.2646320321798
          65, -4.53698790563493, -7.24933675221578, -7.44840440811593, -10.2762481213781
          66, -4.54846242245291, -7.26071699980009, -7.46084152493611, -10.2878845286223
          67, -4.55997882345315, -7.27212078602385, -7.47331538271692, -10.2995342467101
          68, -4.57153161812912, -7.28354282610762, -7.48581438644136, -10.3111908228265
          69, -4.58311555888537, -7.29497853848677, -7.49832782778238, -10.3228486613756
          70,  -4.5947258781869, -7.30642424837075,  -7.5108464623054,  -10.334503280727
          71, -4.60635849140814, -7.31787735214928, -7.52336294137731, -10.3461515225355
          72, -4.61801017142782,  -7.3293364448108, -7.53587209373749, -10.3577917051684
          73, -4.62967869708277, -7.34080141183497, -7.54837107241703, -10.3694237158006
          74, -4.64136297350701, -7.35227348775617, -7.56085938826993, -10.3810490473585
          75,  -4.6530631185886, -7.36375528172655, -7.57333884984819, -10.3926707934338
          76, -4.66478050868221,  -7.3752507664165, -7.58581342881684, -10.4042936092954
          77, -4.67651778042777, -7.38676522496892, -7.59828907130235,  -10.415923636932
          78, -4.68827879234391, -7.39830515478559, -7.61077347481547, -10.4275683875659
          79, -4.70006855543029,  -7.4098781349397,  -7.6232758458183, -10.4392365803771
          80, -4.71189314349712, -7.42149267068083, -7.63580664647796, -10.4509379466199
          81, -4.72375959156128, -7.43315802970948, -7.64837733383345, -10.4626830155682
          82, -4.73567578647712, -7.44488408067841, -7.66100009238368, -10.4744828981513
